frequency_hz,power_db_smoothed
1419500819,-69.624
1419502284,-69.621
1419503749,-69.613
1419505214,-69.605
1419506678,-69.609
1419508143,-69.604
1419509608,-69.598
1419511073,-69.592
1419512538,-69.585
1419514003,-69.585
1419515467,-69.583
1419516932,-69.58
1419518397,-69.565
1419519862,-69.564
1419521327,-69.566
1419522792,-69.558
1419524257,-69.545
1419525721,-69.54
1419527186,-69.54
1419528651,-69.542
1419530116,-69.53
1419531581,-69.523
1419533046,-69.522
1419534510,-69.524
1419535975,-69.517
1419537440,-69.512
1419538905,-69.509
1419540370,-69.499
1419541835,-69.502
1419543300,-69.498
1419544764,-69.498
1419546229,-69.486
1419547694,-69.478
1419549159,-69.476
1419550624,-69.469
1419552089,-69.468
1419553553,-69.465
1419555018,-69.46
1419556483,-69.461
1419557948,-69.454
1419559413,-69.451
1419560878,-69.445
1419562342,-69.439
1419563807,-69.43
1419565272,-69.434
1419566737,-69.435
1419568202,-69.424
1419569667,-69.421
1419571132,-69.418
1419572596,-69.42
1419574061,-69.414
1419575526,-69.413
1419576991,-69.41
1419578456,-69.408
1419579921,-69.41
1419581385,-69.405
1419582850,-69.388
1419584315,-69.387
1419585780,-69.383
1419587245,-69.383
1419588710,-69.379
1419590175,-69.369
1419591639,-69.364
1419593104,-69.375
1419594569,-69.368
1419596034,-69.363
1419597499,-69.365
1419598964,-69.357
1419600428,-69.357
1419601893,-69.358
1419603358,-69.36
1419604823,-69.354
1419606288,-69.349
1419607753,-69.352
1419609217,-69.34
1419610682,-69.329
1419612147,-69.326
1419613612,-69.328
1419615077,-69.332
1419616542,-69.325
1419618007,-69.327
1419619471,-69.319
1419620936,-69.315
1419622401,-69.317
1419623866,-69.31
1419625331,-69.311
1419626796,-69.312
1419628260,-69.304
1419629725,-69.299
1419631190,-69.294
1419632655,-69.3
1419634120,-69.291
1419635585,-69.293
1419637050,-69.288
1419638514,-69.286
1419639979,-69.289
1419641444,-69.281
1419642909,-69.275
1419644374,-69.28
1419645839,-69.283
1419647303,-69.282
1419648768,-69.273
1419650233,-69.265
1419651698,-69.272
1419653163,-69.266
1419654628,-69.263
1419656092,-69.257
1419657557,-69.254
1419659022,-69.257
1419660487,-69.253
1419661952,-69.244
1419663417,-69.248
1419664882,-69.251
1419666346,-69.251
1419667811,-69.248
1419669276,-69.24
1419670741,-69.235
1419672206,-69.234
1419673671,-69.238
1419675135,-69.235
1419676600,-69.23
1419678065,-69.229
1419679530,-69.226
1419680995,-69.222
1419682460,-69.211
1419683925,-69.212
1419685389,-69.203
1419686854,-69.198
1419688319,-69.199
1419689784,-69.199
1419691249,-69.203
1419692714,-69.186
1419694178,-69.166
1419695643,-69.177
1419697108,-69.172
1419698573,-69.177
1419700038,-69.176
1419701503,-69.146
1419702967,-69.152
1419704432,-69.17
1419705897,-69.173
1419707362,-69.173
1419708827,-69.168
1419710292,-69.153
1419711757,-69.167
1419713221,-69.167
1419714686,-69.17
1419716151,-69.172
1419717616,-69.164
1419719081,-69.173
1419720546,-69.179
1419722010,-69.173
1419723475,-69.167
1419724940,-69.16
1419726405,-69.156
1419727870,-69.16
1419729335,-69.16
1419730800,-69.156
1419732264,-69.156
1419733729,-69.146
1419735194,-69.152
1419736659,-69.16
1419738124,-69.146
1419739589,-69.141
1419741053,-69.145
1419742518,-69.144
1419743983,-69.146
1419745448,-69.147
1419746913,-69.148
1419748378,-69.14
1419749842,-69.134
1419751307,-69.135
1419752772,-69.133
1419754237,-69.124
1419755702,-69.125
1419757167,-69.126
1419758632,-69.128
1419760096,-69.129
1419761561,-69.128
1419763026,-69.12
1419764491,-69.12
1419765956,-69.122
1419767421,-69.117
1419768885,-69.121
1419770350,-69.117
1419771815,-69.116
1419773280,-69.116
1419774745,-69.109
1419776210,-69.111
1419777675,-69.11
1419779139,-69.102
1419780604,-69.106
1419782069,-69.104
1419783534,-69.105
1419784999,-69.104
1419786464,-69.104
1419787928,-69.11
1419789393,-69.103
1419790858,-69.095
1419792323,-69.096
1419793788,-69.099
1419795253,-69.093
1419796717,-69.087
1419798182,-69.086
1419799647,-69.096
1419801112,-69.096
1419802577,-69.098
1419804042,-69.092
1419805507,-69.085
1419806971,-69.088
1419808436,-69.092
1419809901,-69.092
1419811366,-69.082
1419812831,-69.083
1419814296,-69.08
1419815760,-69.087
1419817225,-69.086
1419818690,-69.077
1419820155,-69.078
1419821620,-69.077
1419823085,-69.082
1419824550,-69.077
1419826014,-69.085
1419827479,-69.072
1419828944,-69.074
1419830409,-69.079
1419831874,-69.084
1419833339,-69.082
1419834803,-69.078
1419836268,-69.077
1419837733,-69.072
1419839198,-69.067
1419840663,-69.074
1419842128,-69.075
1419843592,-69.078
1419845057,-69.073
1419846522,-69.071
1419847987,-69.073
1419849452,-69.07
1419850917,-69.071
1419852382,-69.075
1419853846,-69.075
1419855311,-69.071
1419856776,-69.079
1419858241,-69.079
1419859706,-69.08
1419861171,-69.08
1419862635,-69.074
1419864100,-69.077
1419865565,-69.075
1419867030,-69.07
1419868495,-69.078
1419869960,-69.076
1419871425,-69.072
1419872889,-69.072
1419874354,-69.078
1419875819,-69.082
1419877284,-69.077
1419878749,-69.077
1419880214,-69.085
1419881678,-69.079
1419883143,-69.078
1419884608,-69.083
1419886073,-69.086
1419887538,-69.087
1419889003,-69.075
1419890467,-69.075
1419891932,-69.086
1419893397,-69.082
1419894862,-69.081
1419896327,-69.08
1419897792,-69.084
1419899257,-69.079
1419900721,-69.088
1419902186,-69.087
1419903651,-69.089
1419905116,-69.09
1419906581,-69.09
1419908046,-69.092
1419909510,-69.098
1419910975,-69.096
1419912440,-69.096
1419913905,-69.101
1419915370,-69.099
1419916835,-69.088
1419918300,-69.095
1419919764,-69.099
1419921229,-69.094
1419922694,-69.091
1419924159,-69.093
1419925624,-69.1
1419927089,-69.101
1419928553,-69.107
1419930018,-69.105
1419931483,-69.108
1419932948,-69.105
1419934413,-69.11
1419935878,-69.106
1419937342,-69.121
1419938807,-69.116
1419940272,-69.116
1419941737,-69.123
1419943202,-69.121
1419944667,-69.119
1419946132,-69.119
1419947596,-69.125
1419949061,-69.133
1419950526,-69.127
1419951991,-69.126
1419953456,-69.125
1419954921,-69.127
1419956385,-69.124
1419957850,-69.125
1419959315,-69.131
1419960780,-69.135
1419962245,-69.138
1419963710,-69.136
1419965175,-69.133
1419966639,-69.133
1419968104,-69.142
1419969569,-69.145
1419971034,-69.15
1419972499,-69.144
1419973964,-69.14
1419975428,-69.149
1419976893,-69.153
1419978358,-69.144
1419979823,-69.147
1419981288,-69.155
1419982753,-69.154
1419984217,-69.152
1419985682,-69.159
1419987147,-69.162
1419988612,-69.155
1419990077,-69.161
1419991542,-69.16
1419993007,-69.153
1419994471,-69.153
1419995936,-69.155
1419997401,-69.157
1419998866,-69.157
1420000331,-69.156
1420001796,-69.156
1420003260,-69.163
1420004725,-69.169
1420006190,-69.173
1420007655,-69.174
1420009120,-69.173
1420010585,-69.181
1420012050,-69.171
1420013514,-69.177
1420014979,-69.177
1420016444,-69.175
1420017909,-69.177
1420019374,-69.183
1420020839,-69.177
1420022303,-69.168
1420023768,-69.168
1420025233,-69.174
1420026698,-69.18
1420028163,-69.177
1420029628,-69.174
1420031092,-69.185
1420032557,-69.183
1420034022,-69.179
1420035487,-69.181
1420036952,-69.187
1420038417,-69.187
1420039882,-69.186
1420041346,-69.184
1420042811,-69.181
1420044276,-69.182
1420045741,-69.183
1420047206,-69.183
1420048671,-69.184
1420050135,-69.186
1420051600,-69.188
1420053065,-69.182
1420054530,-69.184
1420055995,-69.186
1420057460,-69.186
1420058925,-69.184
1420060389,-69.182
1420061854,-69.184
1420063319,-69.178
1420064784,-69.181
1420066249,-69.183
1420067714,-69.178
1420069178,-69.175
1420070643,-69.177
1420072108,-69.18
1420073573,-69.176
1420075038,-69.177
1420076503,-69.173
1420077967,-69.175
1420079432,-69.173
1420080897,-69.172
1420082362,-69.174
1420083827,-69.172
