frequency_hz,power_db_smoothed
1419500819,-69.63789999999999
1419502284,-69.63360000000002
1419503749,-69.6281
1419505214,-69.63140000000001
1419506678,-69.63090000000001
1419508143,-69.61185
1419509608,-69.602
1419511073,-69.58960000000002
1419512538,-69.58725
1419514003,-69.579
1419515467,-69.55534999999998
1419516932,-69.57445000000001
1419518397,-69.57475
1419519862,-69.573
1419521327,-69.55340000000001
1419522792,-69.53779999999999
1419524257,-69.54214999999999
1419525721,-69.53569999999999
1419527186,-69.52560000000001
1419528651,-69.51165
1419530116,-69.50534999999999
1419531581,-69.49544999999998
1419533046,-69.49699999999999
1419534510,-69.49210000000001
1419535975,-69.48545
1419537440,-69.48349999999998
1419538905,-69.50115
1419540370,-69.48090000000002
1419541835,-69.46705
1419543300,-69.45364999999998
1419544764,-69.44994999999999
1419546229,-69.4498
1419547694,-69.45190000000001
1419549159,-69.43175000000001
1419550624,-69.42545
1419552089,-69.44015
1419553553,-69.44030000000001
1419555018,-69.42055
1419556483,-69.40244999999999
1419557948,-69.40289999999999
1419559413,-69.39065000000001
1419560878,-69.37885
1419562342,-69.38059999999999
1419563807,-69.36959999999998
1419565272,-69.36269999999999
1419566737,-69.36679999999998
1419568202,-69.36625000000001
1419569667,-69.35045
1419571132,-69.34890000000001
1419572596,-69.3559
1419574061,-69.34200000000001
1419575526,-69.3572
1419576991,-69.35565
1419578456,-69.3331
1419579921,-69.32200000000002
1419581385,-69.32335
1419582850,-69.31640000000002
1419584315,-69.31379999999999
1419585780,-69.29910000000001
1419587245,-69.30575
1419588710,-69.2928
1419590175,-69.2838
1419591639,-69.27935
1419593104,-69.2789
1419594569,-69.278
1419596034,-69.2713
1419597499,-69.26570000000001
1419598964,-69.2582
1419600428,-69.24805
1419601893,-69.25230000000002
1419603358,-69.2512
1419604823,-69.25115000000002
1419606288,-69.23355000000001
1419607753,-69.2279
1419609217,-69.2259
1419610682,-69.21265000000001
1419612147,-69.2119
1419613612,-69.22375000000001
1419615077,-69.2114
1419616542,-69.2
1419618007,-69.19434999999999
1419619471,-69.1935
1419620936,-69.18635
1419622401,-69.19335000000001
1419623866,-69.17889999999998
1419625331,-69.18885
1419626796,-69.18375
1419628260,-69.17165
1419629725,-69.16845000000002
1419631190,-69.16510000000001
1419632655,-69.1702
1419634120,-69.1471
1419635585,-69.15155
1419637050,-69.15470000000002
1419638514,-69.14840000000001
1419639979,-69.14280000000001
1419641444,-69.13610000000001
1419642909,-69.1543
1419644374,-69.14775
1419645839,-69.1396
1419647303,-69.13645000000001
1419648768,-69.1276
1419650233,-69.13090000000001
1419651698,-69.1167
1419653163,-69.10324999999999
1419654628,-69.09540000000001
1419656092,-69.10185000000001
1419657557,-69.1092
1419659022,-69.11049999999999
1419660487,-69.08945000000001
1419661952,-69.07680000000002
1419663417,-69.08045
1419664882,-69.0906
1419666346,-69.08964999999999
1419667811,-69.07070000000002
1419669276,-69.04820000000002
1419670741,-69.05024999999998
1419672206,-69.04950000000001
1419673671,-69.04339999999999
1419675135,-69.05365
1419676600,-69.04725
1419678065,-69.0218
1419679530,-69.0274
1419680995,-69.0544
1419682460,-69.04624999999999
1419683925,-69.03644999999999
1419685389,-69.00854999999999
1419686854,-69.02085
1419688319,-69.0222
1419689784,-69.01455
1419691249,-69.00835000000001
1419692714,-68.9781
1419694178,-68.9449
1419695643,-68.971
1419697108,-68.99170000000001
1419698573,-68.98345
1419700038,-68.96985000000001
1419701503,-68.91875
1419702967,-68.9421
1419704432,-68.9598
1419705897,-68.95745000000002
1419707362,-68.95559999999999
1419708827,-68.9444
1419710292,-68.92500000000001
1419711757,-68.95949999999999
1419713221,-68.9539
1419714686,-68.98125000000002
1419716151,-68.97115
1419717616,-68.93885000000002
1419719081,-68.94149999999999
1419720546,-68.9522
1419722010,-68.96229999999998
1419723475,-68.95214999999999
1419724940,-68.93595000000002
1419726405,-68.93209999999999
1419727870,-68.92750000000001
1419729335,-68.92004999999999
1419730800,-68.93635
1419732264,-68.93745
1419733729,-68.9316
1419735194,-68.92394999999999
1419736659,-68.92495
1419738124,-68.92965
1419739589,-68.9091
1419741053,-68.91475
1419742518,-68.91605000000001
1419743983,-68.91520000000001
1419745448,-68.90105
1419746913,-68.89325000000001
1419748378,-68.89025
1419749842,-68.8865
1419751307,-68.88845
1419752772,-68.8943
1419754237,-68.88415
1419755702,-68.88335
1419757167,-68.88355
1419758632,-68.8771
1419760096,-68.86490000000002
1419761561,-68.86619999999999
1419763026,-68.86815
1419764491,-68.86040000000003
1419765956,-68.86265
1419767421,-68.85775
1419768885,-68.85435000000001
1419770350,-68.85575
1419771815,-68.85244999999999
1419773280,-68.8533
1419774745,-68.85355
1419776210,-68.858
1419777675,-68.84700000000001
1419779139,-68.8416
1419780604,-68.83455000000001
1419782069,-68.83144999999999
1419783534,-68.82900000000002
1419784999,-68.83200000000002
1419786464,-68.83155
1419787928,-68.8255
1419789393,-68.82270000000001
1419790858,-68.8231
1419792323,-68.821
1419793788,-68.81994999999999
1419795253,-68.82109999999999
1419796717,-68.8022
1419798182,-68.80430000000001
1419799647,-68.82629999999999
1419801112,-68.81294999999997
1419802577,-68.79759999999999
1419804042,-68.80385
1419805507,-68.81825
1419806971,-68.81155000000001
1419808436,-68.79425
1419809901,-68.795
1419811366,-68.80445
1419812831,-68.79775
1419814296,-68.78455
1419815760,-68.78900000000002
1419817225,-68.7915
1419818690,-68.78045
